old_url,new_url,content_type,redirect_action,title,meta_description,word_count,notes
https://dancehallmuseum.org/2026/04/02/welcome-to-the-dancehall-museum-a-cultural-game-changer-from-yardrock-tv/,/journal/welcome-to-the-dancehall-museum-a-cultural-game-changer-from-yardrock-tv/,blog_post,301,Welcome to the Dancehall Museum: A Cultural Game-Changer from YardRock TV,,672,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/01/the-complete-history-of-dancehall-from-kingstons-dance-floors-to-a-global-cultural-force/,/journal/the-complete-history-of-dancehall-from-kingstons-dance-floors-to-a-global-cultural-force/,blog_post,301,The Complete History of Dancehall: From Kingston’s Dance Floors to a Global Cultural Force,,2867,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/sound-system-culture-in-jamaica-the-foundation-of-dancehall/,/journal/sound-system-culture-in-jamaica-the-foundation-of-dancehall/,blog_post,301,Sound System Culture in Jamaica: The Foundation of Dancehall,,2977,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/dancehall-fashion-the-evolution-of-jamaican-style/,/journal/dancehall-fashion-the-evolution-of-jamaican-style/,blog_post,301,Dancehall Fashion: The Evolution of Jamaican Style,,2787,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/dancehall-queens-style-power-and-cultural-influence/,/journal/dancehall-queens-style-power-and-cultural-influence/,blog_post,301,"Dancehall Queens: Style, Power, and Cultural Influence",,2246,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/from-kingston-to-the-world-how-dancehall-influenced-global-fashion-music-and-culture/,/journal/from-kingston-to-the-world-how-dancehall-influenced-global-fashion-music-and-culture/,blog_post,301,"From Kingston to the World: How Dancehall Influenced Global Fashion, Music, and Culture",,2501,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/from-the-archive-the-visual-language-of-dancehall-flyers/,/journal/from-the-archive-the-visual-language-of-dancehall-flyers/,blog_post,301,From the Archive: The Visual Language of Dancehall Flyers,,2335,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/icons-of-dancehall-style-artists-who-defined-the-image-of-the-culture/,/journal/icons-of-dancehall-style-artists-who-defined-the-image-of-the-culture/,blog_post,301,Icons of Dancehall Style: Artists Who Defined the Image of the Culture,,2301,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/the-evolution-of-dancehall-fashion-a-journey-through-six-eras/,/journal/the-evolution-of-dancehall-fashion-a-journey-through-six-eras/,blog_post,301,The Evolution of Dancehall Fashion: A Journey Through Six Eras,,1350,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/dancehall-dancers-fashion-icons-bogle-latonya-style-and-the-legacy-of-style-in-motion/,/journal/dancehall-dancers-fashion-icons-bogle-latonya-style-and-the-legacy-of-style-in-motion/,blog_post,301,"Dancehall Dancers & Fashion Icons – Bogle, Latonya Style, and the Legacy of Style in Motion",,1374,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/dancehall-origins-from-kingston-jamaica-to-the-world/,/journal/dancehall-origins-from-kingston-jamaica-to-the-world/,blog_post,301,Dancehall Origins: From Kingston Jamaica to the World,,2655,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/how-jamaican-culture-shaped-new-york-the-entertainment-industry-and-the-world/,/journal/how-jamaican-culture-shaped-new-york-the-entertainment-industry-and-the-world/,blog_post,301,"How Jamaican Culture Shaped New York, the Entertainment Industry, and the World",,2280,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/the-history-of-dancehall-queens-the-legacy-of-carlene-smith/,/journal/the-history-of-dancehall-queens-the-legacy-of-carlene-smith/,blog_post,301,The History of Dancehall Queens & the Legacy of Carlene Smith,,1658,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/the-language-of-dancehall-patois-style-and-identity/,/journal/the-language-of-dancehall-patois-style-and-identity/,blog_post,301,"The Language of Dancehall: Patois, Style, and Identity",,1961,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/shabba-ranks-and-the-global-dancehall-image/,/journal/shabba-ranks-and-the-global-dancehall-image/,blog_post,301,Shabba Ranks and the Global Dancehall Image,,2631,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/03/super-cat-cool-authority-style-and-the-architecture-of-dancehall-swagger/,/journal/super-cat-cool-authority-style-and-the-architecture-of-dancehall-swagger/,blog_post,301,"Super Cat: Cool Authority, Style, and the Architecture of Dancehall Swagger",,1681,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/2026/04/02/yellowman-the-legendary-voice-who-helped-define-dancehall/,/journal/yellowman-the-legendary-voice-who-helped-define-dancehall/,blog_post,301,Yellowman: The Legendary Voice Who Helped Define Dancehall,,2209,Editorial/journal article. Migrate full content.
https://dancehallmuseum.org/,/,page,n/a (canonical home),DANCEHALL MUSEUM,,903,Canonical homepage. Keep at root.
https://dancehallmuseum.org/about/,/about/,page (duplicate),n/a (merge into canonical),ABOUT,,600,"Older/shorter About draft (600 words). Merge best content into the /about-2/ version, then this URL keeps working as the live /about/ slug."
https://dancehallmuseum.org/home/,/,page (duplicate),301,Home,,505,"Duplicate/legacy homepage draft (505 words vs 903 on '/'). Redirect to root, do not migrate content separately."
https://dancehallmuseum.org/about-2/,/about/,page (duplicate - content source),301,About,,870,Longer/more current About draft (870 words). Use this as the CONTENT SOURCE for the new /about/ page; then redirect this URL to /about/.
https://dancehallmuseum.org/exhibitions/,/exhibitions/,page,n/a (canonical),Exhibitions,,724,Primary site page. Migrate content as-is.
https://dancehallmuseum.org/collections/,/collections/,page,n/a (canonical),Collections,,1174,Canonical Collections page (1174 words).
https://dancehallmuseum.org/archive/,/collections/,page (stub duplicate),301,Collections,,38,"38-word stub, same H1 'Collections' as /collections/. Redirect, no unique content to migrate."
https://dancehallmuseum.org/learn/,/learn/,page,n/a (canonical),Learn,,794,Primary site page. Migrate content as-is.
